ENSP	VNG-ORF
RS13_HALN1	VNG1132G
RS4_HALN1	VNG1133G
RS11_HALN1	VNG1134G
RPOD_HALN1	VNG1136G
R18E_HALN1	VNG1137G
Q9HQJ3	VNG1138G
RS9_HALN1	VNG1139G
RPON_HALN1	VNG1140G
RPOK_HALN1	VNG1141G
ENO_HALN1	VNG1142G
RS2_HALN1	VNG1143G
Q9HQI7	VNG1144H
Q9HQI6	VNG1145G
Q9HQI5	VNG1148G
Q9HQI4	VNG1149C
Q9HQI3	VNG1150G
Q9HQI2	VNG1151H
Q9HQI1	VNG1153G
Q9HQI0	VNG1154H
Q9HQH9	VNG1156G
RL7A_HALN1	VNG1157G
RS28_HALN1	VNG1158G
R24E_HALN1	VNG1159G
NDK_HALN1	VNG1160G
Q9HQH4	VNG1162H
Q9HQH3	VNG1163G
Q9HQH2	VNG1164C
KSGA_HALN1	VNG1165G
Q9HQH0	VNG1168C
Q9HQG9	VNG1169C
RL21_HALN1	VNG1170G
Q9HQG7	VNG1172G
EF1B_HALN1	VNG1173G
Q9HQG4	VNG1174G
Q9HQG5	VNG1175G
FLPA_HALN1	VNG1176G
Q9HQG2	VNG1178H
Q9HQG1	VNG1179C
MSRA_HALN1	VNG1180G
Q9HQF9	VNG1181G
Q9HQF8	VNG1182H
Q9HQF6	VNG1183H
Q9HQF7	VNG1184G
Q9HQF5	VNG1185G
Q9HQF4	VNG1187G
Q9HQF3	VNG1188G
Q9HQF2	VNG1189H
SOD1_HALN1	VNG1190G
Q9HQF0	VNG1191G
Q9HQE9	VNG1193C
Q9HQE8	VNG1194H
Q9HQE7	VNG1196H
Q9HQE6	VNG1197G
Q9HQE5	VNG1198C
Q9HQE4	VNG1200H
Q9HQE3	VNG1201G
Q9HQE2	VNG1202C
Q9HQE1	VNG1204G
Q9HQE0	VNG1205C
Q9HQD9	VNG1207C
HUTU_HALN1	VNG1208G
HUTG_HALN1	VNG1209G
HUTI_HALN1	VNG1211G
HUTH_HALN1	VNG1212G
Q9HQD4	VNG1213C
Q9HQD3	VNG1214H
Q9HQD2	VNG1215G
PGK_HALN1	VNG1216G
Q9HQD0	VNG1218C
URK_HALN1	VNG1219G
Q9HQC8	VNG1220H
CD62_HALN1	VNG1224G
Q9HQC5	VNG1226H
Q9HQC6	VNG1227H
Q9HQC4	VNG1228C
Q9HQC3	VNG1229H
AROC_HALN1	VNG1230G
AROA_HALN1	VNG1232G
Q9HQC0	VNG1233G
Q9HQB9	VNG1234C
Q9HQB8	VNG1235C
Q9HQB7	VNG1236C
Q9HQB6	VNG1237C
Q9HQB4	VNG1238C
Q9HQB5	VNG1239H
Q9HQB3	VNG1240G
SURE_HALN1	VNG1241G
Q9HQB1	VNG1244C
AROK_HALN1	VNG1245C
Q9HQA9	VNG1246H
Q9HQA8	VNG1247G
Q9HQA7	VNG1249C
Q9HQA6	VNG1250H
Q9HQA5	VNG1251G
Q9HQA4	VNG1252G
Q9HQA3	VNG1253C
Q9HQA2	VNG1255C
Q9HQA1	VNG1256G
Q9HQA0	VNG1257H
P82854	VNG1259G
Q9HQ99	VNG1260C
Q9HQ98	VNG1261H
IF2B_HALN1	VNG1262G
Q9HQ96	VNG1263C
YC64_HALN1	VNG1264C
Q9HQ94	VNG1266G
Q9HQ93	VNG1268H
Q9HQ92	VNG1270H
Q9HQ91	VNG1271H
Q9HQ90	VNG1272C
MOAC_HALN1	VNG1273G
Q9HQ88	VNG1275G
Q9HQ87	VNG1276C
RNP2_HALN1	VNG1279H
Q9HQ85	VNG1280C
Q9HQ84	VNG1281H
Q9HQ83	VNG1282G
Q9HQ82	VNG1283H
Q9HQ81	VNG1284G
Q9HQ80	VNG1285G
Q9HQ79	VNG1287C
Q9HQ78	VNG1289H
Q9HQ77	VNG1291H
Q9HQ76	VNG1292H
Q9P9H4	VNG1294G
Q9HQ75	VNG1295H
Q9HQ74	VNG1296C
METK_HALN1	VNG1297C
THII_HALN1	VNG1299C
Q9HQ71	VNG1300H
Q9HQ70	VNG1301G
Q9HQ69	VNG1302H
Q9HQ68	VNG1303C
Q9HQ67	VNG1305G
Q9HQ66	VNG1306G
Q9HQ65	VNG1308G
Q9HQ64	VNG1309G
DHSD_HALN1	VNG1310G
Q9HQ62	VNG1311G
Q9HQ61	VNG1313G
Q9HQ60	VNG1314H
Q9HQ59	VNG1315H
Q9HQ58	VNG1317H
Q9HQ57	VNG1318H
Q9HQ56	VNG1319H
Q9HQ55	VNG1320G
Q9HQ54	VNG1323C
Q9HQ53	VNG1324C
THYX_HALN1	VNG1325C
Q9HQ51	VNG1326H
Q9HQ50	VNG1327G
Q9HQ49	VNG1329H
Q9HQ48	VNG1330H
SOD2_HALN1	VNG1332G
PHR_HALN1	VNG1335G
YD36_HALN1	VNG1336C
Q9HQ44	VNG1337C
Q9HQ43	VNG1339C
Q9HQ42	VNG1340C
Q9HQ41	VNG1341G
Q9HQ40	VNG1342G
Q9HQ39	VNG1343C
Q9HQ38	VNG1344G
Q9HQ37	VNG1345H
Q9HQ36	VNG1347C
Q9HQ35	VNG1349C
Q9HQ34	VNG1350C
Q9HQ33	VNG1351G
GATE_HALN1	VNG1352G
Q9HQ31	VNG1353C
Q9HQ30	VNG1355H
FUMC_HALN1	VNG1356G
Q9HQ28	VNG1357C
FEN_HALN1	VNG1359G
Q9HQ26	VNG1360H
Q9HQ25	VNG1362H
Q9HQ24	VNG1364G
Q9HQ23	VNG1365C
Q9HQ22	VNG1366H
SR19_HALN1	VNG1367G
Q9HQ20	VNG1369G
Q9HQ19	VNG1370G
Q9HQ18	VNG1371G
Q9HQ17	VNG1372C
Q9HQ16	VNG1374G
Q9HQ15	VNG1375C
Q9HQ14	VNG1376H
Q9HQ13	VNG1377G
Q9HQ12	VNG1379G
Q9HQ11	VNG1380H
Q9HQ10	VNG1381H
Q9HQ09	VNG1382H
Q9HQ08	VNG1383G
Q9HQ07	VNG1384H
Q9HQ06	VNG1385G
Q9HQ05	VNG1387H
Q9HQ04	VNG1388H
Q9HQ03	VNG1389C
Q9HQ02	VNG1390H
Q9HQ01	VNG1394H
HTR3_HALN1	VNG1395G
Q9HPZ9	VNG1397C
Q9HPZ8	VNG1398C
YE01_HALN1	VNG1401C
Q9HPZ7	VNG1402H
Q9HPZ5	VNG1403H
Q9HPZ3	VNG1404G
Q9HPZ4	VNG1405C
Q9HPZ2	VNG1406G
Q9HPZ1	VNG1407C
Q9HPZ0	VNG1408G
Q9HPY9	VNG1409C
Q9HPY8	VNG1410H
Q9HPY7	VNG1412H
Q9HPY6	VNG1413H
GLYA_HALN1	VNG1414G
Q9HPY4	VNG1416G
Q9HPY3	VNG1417H
Q9HPY2	VNG1418C
Q9HPY1	VNG1420H
Q9HPY0	VNG1422H
Q9HPX9	VNG1423H
Q9HPX8	VNG1425H
Q9HPX7	VNG1426H
Q9HPX6	VNG1427H
Q9HPX5	VNG1428G
Q9HPX4	VNG1429C
Q9HPX3	VNG1431C
DHYS_HALN1	VNG1432G
R17E_HALN1	VNG1433G
Q9HPX0	VNG1435G
Q9HPW9	VNG1437G
Q9HPW8	VNG1438H
Q9HPW7	VNG1440H
Q9HPW6	VNG1442G
HISX_HALN1	VNG1444G
Q9HPW4	VNG1446H
Q9HPW3	VNG1447H
Q9HPW2	VNG1448H
Q9HPW1	VNG1450G
Q9HPW0	VNG1451C
Q9HPV9	VNG1452G
Q9HPV8	VNG1453H
Q9HPV7	VNG1454C
Q9HPV6	VNG1455H
Q9HPV5	VNG1456H
Q9HPV4	VNG1457C
Q9HPV3	VNG1458G
Q9HPV2	VNG1459H
Q9HPV1	VNG1461H
Q9HPV0	VNG1462G
Q9HPU9	VNG1463G
BAT_HALN1	VNG1464G
Q9HPU7	VNG1465G
Q9HPU6	VNG1466H
BACR_HALN1	VNG1467G
Q9HPU4	VNG1468H
PRIS_HALN1	VNG1470G
Q9HPU2	VNG1471C
Q9HPU1	VNG1472G
Q9HPU0	VNG1473H
Q9HPT9	VNG1474G
Q9HPT8	VNG1475C
Q9HPT7	VNG1476C
PANB_HALN1	VNG1478G
Q9HPT5	VNG1479H
Q9HPT4	VNG1480C
Q9HPT3	VNG1481G
Q9HPT2	VNG1482G
Q9HPT1	VNG1483C
Q9HPT0	VNG1484H
Q9HPS9	VNG1486H
Q9HPS8	VNG1487H
Q9HPS7	VNG1488G
Q9HPS6	VNG1490H
Q9HPS5	VNG1492C
Q9HPS4	VNG1493G
RL37_HALN1	VNG1494G
Q9HPS2	VNG1496G
Q9HPS0	VNG1497C
Q9HPS1	VNG1498G
Q9HPR9	VNG1500H
Q9HPR8	VNG1501G
Q9HPR7	VNG1503C
HMAT_HALN1	VNG1505G
Q9HPR5	VNG1506G
Q9HPR4	VNG1508C
Q9HPR3	VNG1510C
Q9HPR2	VNG1511C
Q9HPR1	VNG1513H
Q9HPR0	VNG1514H
Q9HPQ9	VNG1515G
Q9HPQ8	VNG1518H
Q9HPQ7	VNG1519H
Q9HPQ6	VNG1520G
Q9HPQ5	VNG1523G
Q9HPQ4	VNG1524C
Q9HPQ3	VNG1525C
Q9HPQ2	VNG1526G
Q9HPQ1	VNG1528G
Q9HPQ0	VNG1529G
Q9HPP9	VNG1530H
Q9HPP8	VNG1532G
Q9HPP7	VNG1533H
Q9HPP6	VNG1534H
Q9HPP5	VNG1536C
Q9HPP4	VNG1537C
Q9HPP3	VNG1538H
Q9HPP2	VNG1540G
SUCC_HALN1	VNG1541G
Q9HPP0	VNG1542G
Q9HPN9	VNG1543G
Q9HPN8	VNG1544G
Q9HPN6	VNG1546H
Q9HPN7	VNG1547C
Q9HPN5	VNG1548C
CBIT_HALN1	VNG1550G
Q9HPN3	VNG1551G
Q9HPN2	VNG1553G
Q9HPN1	VNG1554G
Q9HPN0	VNG1555G
Q9HPM9	VNG1557G
Q9HPM8	VNG1558H
Q9HPM7	VNG1559H
Q9HPM6	VNG1561C
Q9HPM5	VNG1562H
Q9HPM4	VNG1564H
Q9HPM3	VNG1565G
Q9HPM2	VNG1566G
Q9HPM1	VNG1567G
Q9HPM0	VNG1568G
Q9HPL9	VNG1570H
YF72_HALN1	VNG1572C
COBB_HALN1	VNG1573G
Q9HPL6	VNG1574G
Q9HPL5	VNG1576G
Q9HPL4	VNG1577C
Q9HPL3	VNG1578H
COBS_HALN1	VNG1580H
Q9HPL1	VNG1581C
Q9HPL0	VNG1582G
CBIZ_HALN1	VNG1583C
Q9HPK8	VNG1585C
Q9HPK7	VNG1587H
Q9HPK6	VNG1589C
Q9HPK5	VNG1590H
Q9HPK4	VNG1591H
Q9HPK3	VNG1592G
YF95_HALN1	VNG1595C
Q9HPK1	VNG1598H
GCSB_HALN1	VNG1601G
GCSA_HALN1	VNG1603G
GCSH_HALN1	VNG1605G
GCST_HALN1	VNG1606G
Q9HPJ6	VNG1607G
Q9HPJ5	VNG1608C
Q9HPJ4	VNG1609C
Q9HPJ3	VNG1610C
Q9HPJ2	VNG1611C
Q9HPJ1	VNG1613H
Q9HPJ0	VNG1615G
Q9HPI8	VNG1616C
Q9HPI7	VNG1617H
Q9HPI9	VNG1618H
Q9HPI6	VNG1619H
Q9HPI5	VNG1621H
RFCL_HALN1	VNG1622G
Q9HPI3	VNG1623G
Q9HPI2	VNG1624G
Q9HPI1	VNG1625H
Q9HPI0	VNG1626C
Q9HPH9	VNG1628G
Q9HPH8	VNG1630H
Q9HPH7	VNG1631G
Q9HPH6	VNG1632G
CBIN_HALN1	VNG1634G
Q9HPH4	VNG1635G
Q9HPH3	VNG1637G
Q9HPH2	VNG1638H
Q9HPH1	VNG1640H
Q9HPH0	VNG1641H
Q9HPG9	VNG1642H
Q9HPG8	VNG1644G
Q9HPG7	VNG1645H
Q9HPG6	VNG1646G
Q9HPG5	VNG1647G
TRPF_HALN1	VNG1648G
TRPD_HALN1	VNG1649G
Q9HPG2	VNG1650H
Q9HI31	VNG1651H
Q9HI34	VNG1653H
Q9HPG1	VNG1654G
Q9HPG0	VNG1655H
Q9HPF8	VNG1656H
Q9HPF9	VNG1657H
Q9HPF7	VNG1658C
HTR1_HALN1	VNG1659G
BACS_HALN1	VNG1660G
Q9HPF4	VNG1663C
Q9HPF3	VNG1664H
RADB_HALN1	VNG1665G
Q9HPF1	VNG1666H
CDCH_HALN1	VNG1667G
RS8E_HALN1	VNG1668G
Q9HPE8	VNG1670C
Q9HPE7	VNG1672H
PYRF_HALN1	VNG1673G
Q9HPE6	VNG1674H
Q9HPE5	VNG1675H
Q9HPE4	VNG1676G
Q9HPE3	VNG1678H
Q9HPE2	VNG1679H
Q9HPE1	VNG1680G
Q9HPE0	VNG1681C
Q9HPD9	VNG1682C
Q9HPD8	VNG1684G
MCH_HALN1	VNG1686G
Q9HPD6	VNG1687C
Q9HPD5	VNG1688C
RL3_HALN1	VNG1689G
RL4_HALN1	VNG1690G
RL23_HALN1	VNG1691G
RL2_HALN1	VNG1692G
RS19_HALN1	VNG1693G
RL22_HALN1	VNG1695G
RS3_HALN1	VNG1697G
RL29_HALN1	VNG1698G
RNP1_HALN1	VNG1699C
RS17_HALN1	VNG1700G
RL14_HALN1	VNG1701G
RL24_HALN1	VNG1702G
RS4E_HALN1	VNG1703G
RL5_HALN1	VNG1705G
RS14_HALN1	VNG1706G
RS8_HALN1	VNG1707G
RL6_HALN1	VNG1709G
RL32_HALN1	VNG1711G
Q9HPB6	VNG1713G
RL18_HALN1	VNG1714G
RS5_HALN1	VNG1715G
Q9HPB3	VNG1716G
Q9HPB2	VNG1718G
Q9HPB1	VNG1719G
Q9HPB0	VNG1720H
Q9HPA9	VNG1721G
Q9HPA8	VNG1723H
KAD_HALN1	VNG1724G
Q9HPA6	VNG1726G
KCY_HALN1	VNG1727G
TRUB_HALN1	VNG1729G
Q9HPA3	VNG1732C
Q9HPA2	VNG1733G
Q9HPA1	VNG1734H
Q9HPA0	VNG1735C
Q9HP99	VNG1737H
Q9HP98	VNG1739G
Q9HP97	VNG1740C
Q9HP96	VNG1743C
Q9HP95	VNG1744H
Q9HP94	VNG1746C
Q9HP93	VNG1748C
Q9HP92	VNG1749G
Q9HP91	VNG1751H
Q9HP90	VNG1752C
Q9HP89	VNG1754G
Q9HP88	VNG1755G
IFA2_HALN1	VNG1756G
Q9HP86	VNG1758H
HTR5_HALN1	VNG1759G
HTR4_HALN1	VNG1760G
Q9HP83	VNG1762G
BACT_HALN1	VNG1764G
HTR2_HALN1	VNG1765G
YH66_HALN1	VNG1766C
Q9HP79	VNG1767G
IF5A_HALN1	VNG1768G
Q9HP77	VNG1769C
Q9HP76	VNG1770C
Q9HP75	VNG1771C
Q9HP74	VNG1772G
PHS_HALN1	VNG1773G
HEM1_HALN1	VNG1774G
Q9HP71	VNG1775C
Q9HP70	VNG1776G
Q9HP69	VNG1777H
UPPS_HALN1	VNG1779C
Q9HP67	VNG1781C
Q9HP66	VNG1782C
Q9HP64	VNG1783H
Q9HP65	VNG1784C
Q9HP63	VNG1785G
Q9HP62	VNG1786H
Q9HP61	VNG1787H
Q9HP60	VNG1788C
Q9HP59	VNG1790H
Q9HP58	VNG1791C
PDX1_HALN1	VNG1793C
Q9HP56	VNG1794C
Q9HP54	VNG1795C
Q9HP53	VNG1796H
KHSE_HALN1	VNG1797G
Q9HP52	VNG1798H
Q9HP51	VNG1800H
Q9HP50	VNG1801G
Q9HP49	VNG1802H
Q9HP48	VNG1804G
Q9HP47	VNG1806H
Q9HP46	VNG1807H
Q9HP45	VNG1809H
Q9HP44	VNG1811G
CARB_HALN1	VNG1814G
CARA_HALN1	VNG1815G
Q9HP41	VNG1816G
IDI_HALN1	VNG1818G
Q9HP39	VNG1820H
Q9HP38	VNG1821G
Q9HP37	VNG1822G
Q9HP36	VNG1823C
Q9HP35	VNG1826H
Q9HP34	VNG1827H
GAAB_HALN1	VNG1829G
PYRG_HALN1	VNG1830G
Q9HP31	VNG1831H
Q9HP30	VNG1832H
Q9HP29	VNG1833C
Q9HP28	VNG1834G
SYT_HALN1	VNG1835G
Q9HP26	VNG1836G
Q9HP25	VNG1837G
Q9HP23	VNG1838H
Q9HP24	VNG1839H
Q9HP22	VNG1842H
Q9HP21	VNG1843C
GATD_HALN1	VNG1844G
Q9HP19	VNG1845C
Q9HP18	VNG1846C
Q9HP16	VNG1847G
Q9HP17	VNG1848H
Q9HP15	VNG1849H
Q9HP14	VNG1850G
Q9HP13	VNG1851G
Q9HP12	VNG1852H
Q9HP11	VNG1853G
Q9HP10	VNG1856G
Q9HP09	VNG1857C
DEOC_HALN1	VNG1859G
Q9HP07	VNG1861C
Q9HP06	VNG1862G
Q9HP05	VNG1864G
Q9HP04	VNG1865H
Q9HP03	VNG1866G
Q9HP02	VNG1867G
Q9HP01	VNG1868G
Q9HP00	VNG1869C
Q9HNZ9	VNG1871G
Q9HNZ8	VNG1872C
Q9HNZ7	VNG1873G
Q9HNZ6	VNG1874C
Q9HNZ5	VNG1875G
Q9HNZ4	VNG1877C
Q9HNZ3	VNG1879G
Q9HNZ2	VNG1880C
NADA_HALN1	VNG1882G
NADB_HALN1	VNG1883G
Q9HNY9	VNG1884G
Q9HNY8	VNG1886C
GPMI_HALN1	VNG1887G
Q9HNY6	VNG1889H
Q9HNY5	VNG1890H
Q9HNY4	VNG1891H
Q9HNY3	VNG1893G
Q9HNY2	VNG1894C
Q9HNY1	VNG1895H
Q9HNY0	VNG1896C
Q9HNX9	VNG1898C
Q9HNX8	VNG1899G
PPNK_HALN1	VNG1900C
Q9HNX6	VNG1901C
Q9HNX5	VNG1902H
Q9HNX4	VNG1903C
Q9HNX3	VNG1904H
Q9HNX2	VNG1905C
Q9HNX1	VNG1906H
Q9HNX0	VNG1907H
Q9HNW9	VNG1910H
Q9HNW8	VNG1911G
Q9HNW7	VNG1912G
Q9HNW6	VNG1914G
Q9HNW5	VNG1916H
Q9HNW4	VNG1917H
Q9HNW3	VNG1918C
CRB1_HALN1	VNG1919H
Q9HNW0	VNG1920H
CRB2_HALN1	VNG1921H
Q9HNV9	VNG1922G
Q9HNV8	VNG1924G
Q9HNV7	VNG1925H
Q9HNV6	VNG1926G
Q9HNV5	VNG1927H
KTHY_HALN1	VNG1929G
Q9HNV3	VNG1932G
Q9HNV2	VNG1933G
Q9HNV1	VNG1934H
Q9HNV0	VNG1935C
Q9HNU9	VNG1937C
Q9HNU8	VNG1938C
PUR7_HALN1	VNG1939G
Q9HNU6	VNG1940H
Q9HNU5	VNG1941C
Q9HNU4	VNG1942H
Q9HNU3	VNG1943H
Q9HNU1	VNG1944C
PURQ_HALN1	VNG1945G
Q9HNU0	VNG1946G
Q9HNT9	VNG1948H
Q9HNT8	VNG1949G
Q9HNT7	VNG1951G
Q9HNT6	VNG1952H
Q9HNT5	VNG1953C
Q9HNT4	VNG1954H
Q9HNT3	VNG1956H
Q9HNT2	VNG1957G
Q9HNT1	VNG1959G
Q9HNT0	VNG1960H
Q9HNS9	VNG1962C
Q9HNS8	VNG1963H
Q9HNS7	VNG1964H
Q9HNS6	VNG1965H
GLPK_HALN1	VNG1967G
Q9HNS4	VNG1969G
GLPB_HALN1	VNG1971G
Q9HNS2	VNG1972G
Q9HNS1	VNG1973H
Q9HNS0	VNG1974H
Q9HNR9	VNG1976H
Q9HNR8	VNG1977H
Q9HNR7	VNG1978H
YJ80_HALN1	VNG1980C
Q9HNR4	VNG1982C
Q9HNR5	VNG1983H
Q9HNR3	VNG1984G
Q9HNR2	VNG1985C
YJ86_HALN1	VNG1986C
Q9HNR0	VNG1987G
Q9HNQ9	VNG1988G
Q9HNQ8	VNG1989H
Q9HNQ7	VNG1991H
G6PI_HALN1	VNG1992G
Q9HNQ5	VNG1993H
Q9HNQ4	VNG1994C
Q9HNQ3	VNG1995C
IF2P_HALN1	VNG1997G
Q9HNQ1	VNG1998H
PDAD_HALN1	VNG1999H
PSR1_HALN1	VNG2000G
Q9HNP8	VNG2001G
Q9HNP7	VNG2002H
TRUA_HALN1	VNG2003G
SYH_HALN1	VNG2005G
Q9HNP4	VNG2006C
YK08_HALN1	VNG2008H
Q9HNP2	VNG2010G
Q9HNP1	VNG2011G
Q9HNP0	VNG2012C
Q9HNN9	VNG2014H
PYRH_HALN1	VNG2015C
SYK_HALN1	VNG2017G
Q9HNN6	VNG2019C
Q9HNN5	VNG2020C
Q9HNN4	VNG2021C
Q9HNN3	VNG2023G
Q9HNN2	VNG2024H
Q9HNN1	VNG2025G
Q9HNN0	VNG2027H
Q9HNM9	VNG2028H
Q9HNM8	VNG2029H
NADE_HALN1	VNG2031G
Q9HNM6	VNG2032G
Q9HNM5	VNG2034H
Q9HNM4	VNG2035H
Q9HNM3	VNG2036G
Q9HNM2	VNG2037C
Q9HNM1	VNG2039H
Q9HNM0	VNG2041H
Q9HNL9	VNG2042H
Q9HNL8	VNG2043G
Q9HNL7	VNG2044H
Q9HNL6	VNG2045G
R27A_HALN1	VNG2047G
RS24_HALN1	VNG2048G
Q9HNL3	VNG2049C
Q9HNL2	VNG2051G
Q9HNL1	VNG2053G
Q9HNL0	VNG2054H
IF2G_HALN1	VNG2056G
Q9HNK8	VNG2059H
Q9HNK7	VNG2060G
Q9HNK6	VNG2062G
Q9HNK4	VNG2063G
Q9HNK5	VNG2064H
Q9HNK3	VNG2065G
Q9HNK2	VNG2067H
Q9HNK1	VNG2068C
Q9HNK0	VNG2071G
SYS_HALN1	VNG2072G
Q9HNJ9	VNG2073C
Q9HNJ7	VNG2074H
YK75_HALN1	VNG2075C
RL40_HALN1	VNG2076G
Q9HNJ3	VNG2078G
Q9HNJ4	VNG2079G
Q9HNJ2	VNG2080C
Q9HNJ1	VNG2081H
Q9HNJ0	VNG2082G
Q9HNI9	VNG2084G
Q9HNI8	VNG2085G
Q9HNI7	VNG2086G
HIS5_HALN1	VNG2087G
TRM1_HALN1	VNG2088G
Q9HNI4	VNG2089H
Q9HNI3	VNG2091H
GLNA_HALN1	VNG2093G
Q9HNI1	VNG2094G
THSB_HALN1	VNG2096G
Q9HNH9	VNG2097C
Q9HNH8	VNG2098H
Q9HNH7	VNG2099C
Q9HNH6	VNG2100G
Q9HNH5	VNG2101H
Q9HNH4	VNG2102G
Q9HNH3	VNG2104G
Q9HNH2	VNG2105H
Q9HNH1	VNG2106G
Q9HNH0	VNG2108G
Q9HNG9	VNG2109H
Q9HNG8	VNG2110C
YL12_HALN1	VNG2112C
Q9HNG6	VNG2113C
Q9HNG5	VNG2115H
Q9HNG4	VNG2116C
Q9HNG3	VNG2117C
PYRE_HALN1	VNG2118G
YL19_HALN1	VNG2119C
Q9HNG0	VNG2120G
Q9HNF9	VNG2121C
Q9HNF8	VNG2122G
Q9HNF7	VNG2123G
Q9HNF6	VNG2124C
Q9HNF5	VNG2125G
Q9HNF4	VNG2126C
Q9HNF3	VNG2128C
Q9HNF2	VNG2129H
Q9HNF1	VNG2130G
RF1_HALN1	VNG2131G
Q9HNE9	VNG2132G
Q9HNE8	VNG2133H
VATD_HALN1	VNG2135G
Q9HNE6	VNG2136G
Q9HNE5	VNG2137G
VATB_HALN1	VNG2138G
VATA_HALN1	VNG2139G
VATF_HALN1	VNG2140G
VATC_HALN1	VNG2141G
VATE_HALN1	VNG2142G
Q9HND9	VNG2143G
VATI_HALN1	VNG2144G
Q9HND7	VNG2146H
Q9HND6	VNG2147G
Q9HND5	VNG2148H
Q9HND4	VNG2149H
Q9HND3	VNG2150G
Q9HND2	VNG2151G
Q9HND1	VNG2152C
Q9HND0	VNG2153G
Q9HNC9	VNG2154C
Q9HNC8	VNG2155C
Q9HNC7	VNG2156C
Q9HNC6	VNG2157C
Q9HNC5	VNG2158G
Q9HNC4	VNG2159G
Q9HNC3	VNG2160C
Q9HNC2	VNG2162C
Q9HNC1	VNG2163H
Q9HNC0	VNG2164C
Q9HNB9	VNG2165H
Q9HNB8	VNG2166C
Q9HNB7	VNG2167G
Q9HNB6	VNG2168C
Q9HNB4	VNG2170H
Q9HNB5	VNG2171G
Q9HNB3	VNG2172C
Q9HNB2	VNG2173G
Q9HNB1	VNG2174H
O54648	VNG2175H
Q9HNB0	VNG2176H
Q9HNA9	VNG2177H
Q9HNA8	VNG2178H
Q9HNA7	VNG2179H
Q9HNA6	VNG2180C
Q9HNA5	VNG2181G
Q9HNA4	VNG2182H
Q9HNA3	VNG2183H
TFB1_HALN1	VNG2184G
Q9HNA1	VNG2185H
Q9HNA0	VNG2186G
Q9HN99	VNG2187H
Q9HN98	VNG2189H
Q9HN97	VNG2190G
Q9HN96	VNG2191H
Q9HN95	VNG2193G
Q9HN94	VNG2195G
Q9HN93	VNG2196G
Q9HN92	VNG2197H
Q9HN91	VNG2199H
Q9HN90	VNG2201G
Q9HN89	VNG2202H
KPRS_HALN1	VNG2203G
Q9HN87	VNG2204H
Q9HN86	VNG2205H
Q9HN85	VNG2206G
Q9HN84	VNG2207H
SYW1_HALN1	VNG2208G
Q9HN82	VNG2210G
Q9HN81	VNG2211H
Q9HN80	VNG2213G
Q9HN79	VNG2214G
LIPA_HALN1	VNG2216G
Q9HN77	VNG2217G
Q9HN76	VNG2218G
Q9HN75	VNG2219G
Q9HN74	VNG2220G
Q9HN73	VNG2222G
SYL_HALN1	VNG2223G
Q9HN71	VNG2224G
THSA_HALN1	VNG2226G
Q9HN69	VNG2227C
Q9HN68	VNG2230H
Q9HN67	VNG2231C
SYW2_HALN1	VNG2232G
Q9HN65	VNG2233C
IFA1_HALN1	VNG2234G
Q9HN63	VNG2236H
Q9HN62	VNG2237G
Q9HN61	VNG2238C
RNZ_HALN1	VNG2239C
Q9HN59	VNG2240G
Q9HN58	VNG2241H
Q9HN57	VNG2242C
TBPE_HALN1	VNG2243G
Q9HN55	VNG2244H
Q9HN54	VNG2246H
HIS1_HALN1	VNG2247G
Q9HN52	VNG2248H
Q9HN51	VNG2249G
SAHH_HALN1	VNG2251G
Q9HN49	VNG2252G
Q9HN48	VNG2253H
PRIL_HALN1	VNG2254C
